"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1HIHI0039","HILO 0.4 SW, HI US","19.692011","-155.092517","107.0","2019",,,,,,,,,"4.43"," ,N,0220, ",,,,,"122.57"," ,N",,,,,,,,
"USC00516588","NAALEHU 14, HI US","19.0614","-155.5842","201.2","2019",,,,,,,,,,,,,,,"42.83"," ,7",,,,,,,,
"USC00517711","PAPAIKOU 144.1, HI US","19.7842","-155.0937","61.0","2019",,,,,,,,,,,,,,,"110.98"," ,7",,,,,,,,
"US1HIHI0034","HONOKAA 2.7 ESE, HI US","20.060613","-155.430025","332.8","2019",,,,,,,,,"7.41"," ,N,0224, ",,,,,"85.85"," ,N",,,,,,,,
"USR0000HMAP","MAKUA VALLEY HAWAII, HI US","21.5261","-158.2042","158.5","2019",,,,,,,,,,,,,"14","9",,,,,,,,,,
"US1HIHI0033","HONOKAA 2.5 SSW, HI US","20.041679","-155.477707","757.4","2019",,,,,,,,,"3.94"," ,N,0224, ",,,,,"79.51"," ,N",,,,,,,,
"USW00021514","MAUNA LOA 5 NNE, HI US","19.5354","-155.576","3407.4","2019","0",,,,"21","R,0215, ",,,"2.47"," ,R,0219, ","66","R,0707, ","6837","2","16.92"," ,R",,,"46.6","R","54.7","R","38.5","R"
"USW00021515","HILO 5 S, HI US","19.645","-155.0827","189.6","2019","2501",,,,"53","R,0128, ",,,"6.47"," ,R,0219, ","86","R,0705, ",,,"115.48"," ,R",,,"71.8","R","79.0","R","64.6","R"
"USC00512410","KAENA POINT 841.3, HI US","21.561","-158.2382","403.9","2019",,,,,,,,,,,,,,,"34.65"," ,7",,,,,,,,
"US1HIHN0022","KAILUA 2.2 SSE, HI US","21.372696","-157.724981","38.4","2019",,,,,,,,,"3.75"," ,N,0626, ",,,,,"23.13"," ,N",,,,,,,,
"US1HIHN0023","HONOLULU 2.0 SW, HI US","21.300423","-157.829327","11.9","2019",,,,,,,,,"4.20"," ,N,0626, ",,,,,"32.98"," ,N",,,,,,,,
"USC00517540","PAIKO DRIVE 723.4, HI US","21.2803","-157.7335","1.5","2019",,,,,,,,,"3.86"," ,7,0625, ",,,,,"25.83"," ,7",,,,,,,,
"USC00515000","KULA BRNCH STATION 324.5, HI US","20.7584","-156.3212","944.9","2019","493",,,,"36","7,0126, ",,,"1.95"," ,7,0220, ","81","7,0823, ","740","9","28.39"," ,7",,,"64.5","7","72.6","7","56.4","7"
"USC00519603","WAIMEA ARBORETUM 892, HI US","21.6369","-158.0536","12.5","2019",,,,,,,,,,,,,,,"49.46"," ,7",,,,,,,,
"USC00515004","KULA HOSPITAL 267, HI US","20.7009","-156.3562","923.5","2019","293",,,,"41","7,0204, ",,,"2.90"," ,7,0220, ","83","7,1011, ","1054","6","35.71"," ,7",,,"63.2","7","71.5","7","54.9","7"
"USC00519281","WAIHEE 837.5, HI US","21.4509","-157.8501","32.9","2019","3908",,,,"51","7,0210, ",,,"4.43"," ,7,0915, ","89","7,1128,+","5","7","71.04"," ,7",,,"75.7","7","81.9","7","69.4","7"
"USR0000HMAH","MAKAHA RIDGE HAWAII, HI US","22.1306","-159.7153","545.0","2019",,,,,,,,,,,,,"89","5",,,,,,,,,,
"US1HIKI0020","KOLOA 2.1 SSE, HI US","21.878788","-159.451827","12.2","2019",,,,,,,,,"5.07"," ,N,0628, ",,,,,"32.63"," ,N",,,,,,,,
"USR0000HKMO","KEAUMO HAWAII, HI US","19.4736","-155.3589","1682.5","2019","53",,,,"39","U,0213,+",,,,,"82","U,0821, ","1906","9",,,,,"60.1","U","68.8","U","51.4","U"
"USC00518101","PONOHOLO RANCH 178.11, HI US","20.1495","-155.8122","762.0","2019",,,,,,,,,"3.50"," ,7,0429, ",,,,,"47.47"," ,7",,,,,,,,
"USR0000HSCO","SCHOFIELD BARRACKS HAWAII, HI US","21.495","-158.0819","298.7","2019","2706",,,,"51","U,0301, ",,,,,"90","U,0831,+","26","4",,,,,"72.3","U","79.9","U","64.7","U"
"USC00517810","PAUOA FLATS 784, HI US","21.3446","-157.8057","499.9","2019",,,,,,,,,"3.48"," ,7,0625, ",,,,,"125.36"," ,7",,,,,,,,
"US1HIHI0012","NAALEHU 5.7 W, HI US","19.073249","-155.663229","678.8","2019",,,,,,,,,"2.78"," ,N,0220, ",,,,,"64.43"," ,N",,,,,,,,
"USW00022551","EWA KALAELOA AIRPORT, HI US","21.31667","-158.06667","16.5","2019",,,,,,,,,,,,,,,,,,,,,,,,
"USC00513208","KAPAKA FARM 904.1, HI US","21.603","-157.9022","0.9","2019","4156",,,,"53","7,1106, ",,,"3.92"," ,7,0214, ","88","7,0831,+","1","8","55.20"," ,7",,,"76.5","7","82.2","7","70.9","7"
"USC00510211","BERETANIA PUMP STATION 705, HI US","21.3061","-157.853","6.1","2019",,,,,,,,,"3.49"," ,7,0625, ",,,,,"23.14"," ,7",,,,,,,,
"USC00516395","MOANALUA 770, HI US","21.3479","-157.891","9.8","2019",,,,,,,,,"5.43"," ,7,0626, ",,,,,"30.22"," ,7",,,,,,,,
"USW00021510","KAILUA KONA KE AHOLE AIRPORT, HI US","19.73556","-156.04889","13.1","2019",,,,,,,,,"1.04"," ,W,0428, ",,,,,"8.96"," ,W",,,,,,,,
"USC00516270","MIDDLE PEN 147.1, HI US","20.1011","-155.8325","420.6","2019",,,,,,,,,"3.35"," ,7,0923, ",,,,,"20.10"," ,7",,,,,,,,
"USC00519144","WAIKOLOA BEACH RSRT 95.9, HI US","19.9095","-155.8752","24.4","2019",,,,,,,,,"1.50"," ,7,0705, ",,,,,"12.15"," ,7",,,,,,,,
"USC00518055","POAMOHO EXPERIMENTAL FRM 855.2, HI US","21.5383","-158.0893","220.1","2019",,,,,,,,,,,,,,,"32.46"," ,7",,,,,,,,
"USR0000HPUW","PUU WAAWAA HAWAII, HI US","19.795","-155.8453","709.0","2019","1456",,,,"51","U,0212,+",,,,,"84","U,0910,+","132","1",,,,,"68.6","U","76.4","U","60.8","U"
"USC00513317","KAPALUA W. MAUI AIRPORT 462.4, HI US","20.9625","-156.6753","73.2","2019",,,,,,,,,,,,,"1","6",,,,,,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","2019","4011",,,,"57","W,0214,+",,,"6.14"," ,W,0219, ","92","W,0927,+","1","8","100.84"," ,W",,,"76.0","W","83.2","W","68.7","W"
"USC00512982","KALOPA 216.8, HI US","20.0579","-155.432","396.2","2019",,,,,,,,,"4.33"," ,7,0224, ",,,,,"79.31"," ,7",,,,,,,,
"USR0000HMOL","MOLOAA DAIRY HAWAII, HI US","22.1833","-159.3375","85.3","2019","3978",,,,"57","U,0210, ",,,,,"89","U,1102,+","4","2",,,,,"75.8","U","81.3","U","70.4","U"
"USW00022534","MOLOKAI KAUNAKAKAI MOLOKAI AIRPORT, HI US","21.1545","-157.0961","135.0","2019","4491",,,,"55","W,0210,+",,,"3.10"," ,W,0626, ","94","W,0916, ","2","1","18.17"," ,W",,,"77.3","W","84.8","W","69.8","W"
"USR0000HPTA","PTA EAST HAWAII, HI US","19.6828","-155.5453","1959.9","2019","8",,,,"34","U,0210, ",,,,,"78","U,0821, ","2471","8",,,,,"58.3","U","67.7","U","48.9","U"
"USW00022536","LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US","21.98389","-159.34056","30.5","2019","4603",,,,"56","W,0210, ",,,"2.79"," ,W,1225, ","91","W,0908,+","1","8","38.52"," ,W",,,"77.6","W","83.4","W","71.8","W"
"USC00518165","PRINCEVILLE RANCH 1117, HI US","22.2181","-159.4828","66.1","2019",,,,,,,,,"4.98"," ,7,1117, ",,,,,"69.98"," ,7",,,,,,,,
"USR0000HKAN","KANELOA HAWAII, HI US","20.5222","-156.5658","248.4","2019","3837",,,,"57","U,0210, ",,,,,"86","U,1015,+","2","1",,,,,"75.5","U","80.3","U","70.6","U"
"USR0000HPTW","PTA WEST HAWAII, HI US","19.7717","-155.7022","1307.6","2019","159",,,,"37","U,0228, ",,,,,"80","U,0910, ","1329","3",,,,,"62.1","U","72.2","U","51.9","U"
"USC00514758","KOLOKO RESERVOIR 1137, HI US","22.1903","-159.3847","149.4","2019",,,,,,,,,"4.86"," ,7,1225, ",,,,,"89.85"," ,7",,,,,,,,
"USC00513268","KAPALAMA 773, HI US","21.3389","-157.8581","187.1","2019",,,,,,,,,,,,,,,"47.64"," ,7",,,,,,,,
"USC00516933","NUUANU RES 5 775, HI US","21.3387","-157.8367","125.0","2019",,,,,,,,,"3.54"," ,7,0625, ",,,,,"72.17"," ,7",,,,,,,,
"USR0000HPTK","PTA KIPUKA ALALA HAWAII, HI US","19.6669","-155.7078","1641.3","2019","23",,,,"32","U,0209,+",,,,,"82","U,0907,+","2186","4",,,,,"59.2","U","71.1","U","47.4","U"
"USC00519523","WAIMANALO EXPERIMENTAL FARM, HI US","21.33556","-157.71139","19.5","2019",,,,,,,,,,,,,,,"26.63"," ,7",,,,,,,,
"US1HIHI0068","KEAAU 5.5 E, HI US","19.613803","-154.955684","18.0","2019",,,,,,,,,"5.03"," ,N,0220, ",,,,,"110.45"," ,N",,,,,,,,
"US1HIHI0065","PAHOA 4.7 NE, HI US","19.54727","-154.89877","53.9","2019",,,,,,,,,"5.38"," ,N,0220, ",,,,,"105.68"," ,N",,,,,,,,
"USR0000HKAH","KAHUKU TRAINING AREA HAWAII, HI US","21.6792","-157.9894","181.7","2019","4001",,,,"55","U,0214, ",,,,,"92","U,1102, ","7","9",,,,,"75.9","U","81.9","U","69.9","U"
"USC00512960","KALIHI RES SITE 777, HI US","21.3753","-157.8222","277.4","2019",,,,,,,,,"4.15"," ,7,0625, ",,,,,"66.70"," ,7",,,,,,,,
"USC00516128","MANOA LYON ARBO 785.2, HI US","21.3331","-157.8025","152.4","2019","3046",,,,"52","7,0210, ",,,"4.42"," ,7,1221, ","89","7,1011,+","13","4","132.94"," ,7",,,"73.3","7","79.1","7","67.6","7"
"USR0000HKII","KII HAWAII, HI US","21.6883","-157.9525","1.5","2019","4291",,,,"59","U,0214, ",,,,,"86","U,1115,+","0","3",,,,,"76.7","U","80.5","U","72.9","U"
"USC00515715","MAHINAHINA 466, HI US","20.9594","-156.6505","256.6","2019",,,,,,,,,"2.37"," ,7,1221, ",,,,,"58.33"," ,7",,,,,,,,
